,pm10,so2,co,o3,no2,max,critical,category
1402,70.0,8.0,12.0,98.0,12.0,98.0,O3,MODERATE
1403,56.0,25.0,18.0,123.0,16.0,123.0,O3,UNHEALTHY
1404,58.0,23.0,17.0,118.0,14.0,118.0,O3,UNHEALTHY
1405,77.0,4.0,37.0,159.0,14.0,159.0,O3,UNHEALTHY
1406,80.0,4.0,25.0,152.0,13.0,152.0,O3,UNHEALTHY
1407,58.0,3.0,10.0,132.0,12.0,132.0,O3,UNHEALTHY
1408,47.0,2.0,29.0,101.0,12.0,101.0,O3,UNHEALTHY
1409,59.0,30.0,25.0,131.0,16.0,131.0,O3,UNHEALTHY
1410,56.0,3.0,20.0,157.0,10.0,157.0,O3,UNHEALTHY
1411,76.0,10.0,13.0,87.0,15.0,87.0,O3,MODERATE
1412,55.0,7.0,8.0,140.0,10.0,140.0,O3,UNHEALTHY
1413,23.0,8.0,49.0,121.0,10.0,121.0,O3,UNHEALTHY
1414,53.0,28.0,28.0,104.0,26.0,104.0,O3,UNHEALTHY
1415,41.0,4.0,8.0,97.0,8.0,97.0,O3,MODERATE
1416,41.0,3.0,16.0,111.0,8.0,111.0,O3,UNHEALTHY
1417,34.0,2.0,14.0,82.0,12.0,82.0,O3,MODERATE
1418,40.0,23.0,19.0,59.0,9.0,59.0,O3,MODERATE
1419,50.0,3.0,11.0,25.0,6.0,50.0,PM10,GOOD
1420,35.0,22.0,17.0,58.0,14.0,58.0,O3,MODERATE
1421,52.0,30.0,20.0,128.0,21.0,128.0,O3,UNHEALTHY
1422,67.0,9.0,10.0,85.0,12.0,85.0,O3,MODERATE
1423,60.0,4.0,6.0,147.0,12.0,147.0,O3,UNHEALTHY
1424,53.0,7.0,6.0,147.0,12.0,147.0,O3,UNHEALTHY
1425,66.0,9.0,7.0,34.0,16.0,66.0,PM10,MODERATE
1426,54.0,35.0,20.0,112.0,28.0,112.0,O3,UNHEALTHY
1427,60.0,4.0,11.0,127.0,8.0,127.0,O3,UNHEALTHY
1428,54.0,5.0,18.0,140.0,12.0,140.0,O3,UNHEALTHY
1429,51.0,6.0,5.0,151.0,12.0,151.0,O3,UNHEALTHY
1430,64.0,5.0,11.0,158.0,12.0,158.0,O3,UNHEALTHY
1431,58.0,3.0,16.0,193.0,12.0,193.0,O3,UNHEALTHY
1432,57.0,3.0,15.0,169.0,12.0,169.0,O3,UNHEALTHY
1433,54.0,5.0,16.0,159.0,12.0,159.0,O3,UNHEALTHY
1434,53.0,9.0,9.0,133.0,13.0,133.0,O3,UNHEALTHY
1435,54.0,5.0,20.0,102.0,12.0,102.0,O3,UNHEALTHY
1436,51.0,5.0,20.0,100.0,12.0,100.0,O3,MODERATE
